scenario,experiment,variant,seed,epoch,objective,validation_score,mean_group_risk,robust_group_risk,mean_group_brier
label_mar,pooled_erm,v0,6101,5.0,0.4795186519622803,0.6014925596420599,0.4795186519622803,0.4795186519622803,0.15547968447208405
label_mar,pooled_erm,v0,6101,10.0,0.29227393865585327,0.4296308162816978,0.29227393865585327,0.29227393865585327,0.07754331082105637
label_mar,pooled_erm,v0,6101,15.0,0.1798926740884781,0.3678993713025227,0.1798926740884781,0.1798926740884781,0.04170900210738182
label_mar,pooled_erm,v0,6101,20.0,0.14955249428749084,0.3618530691705406,0.14955249428749084,0.14955249428749084,0.03516540303826332
label_mar,pooled_erm,v0,6101,25.0,0.11458372324705124,0.3607052104212607,0.11458372324705124,0.11458372324705124,0.02546071819961071
label_mar,pooled_erm,v0,6101,30.0,0.09809361398220062,0.37118386914304424,0.09809361398220062,0.09809361398220062,0.02030763402581215
label_mar,pooled_erm,v0,6101,35.0,0.08650194108486176,0.35923054095308793,0.08650194108486176,0.08650194108486176,0.018187668174505234
label_mar,pooled_erm,v0,6101,40.0,0.08222410827875137,0.37042765535366456,0.08222410827875137,0.08222410827875137,0.01763448677957058
label_mar,pooled_erm,v0,6101,45.0,0.07128319889307022,0.3552112204338637,0.07128319889307022,0.07128319889307022,0.014888240024447441
label_mar,pooled_erm,v0,6101,50.0,0.08180373162031174,0.3674848251990499,0.08180373162031174,0.08180373162031174,0.019140619784593582
label_mar,pooled_erm,v0,6101,55.0,0.06437184661626816,0.3693231581745128,0.06437184661626816,0.06437184661626816,0.013700750656425953
label_mar,pooled_erm,v0,6101,60.0,0.06074029579758644,0.3719733471582519,0.06074029579758644,0.06074029579758644,0.01361114252358675
label_mar,pooled_erm,v0,6101,65.0,0.06605727225542068,0.3732167528322108,0.06605727225542068,0.06605727225542068,0.015175629407167435
label_mar,pooled_erm,v0,6101,70.0,0.06234072521328926,0.3714022171352695,0.06234072521328926,0.06234072521328926,0.014363547787070274
label_mar,pooled_erm,v0,6101,75.0,0.06273972988128662,0.3785035735427631,0.06273972988128662,0.06273972988128662,0.013894355855882168
label_mar,pooled_erm,v0,6101,80.0,0.05419513210654259,0.3885314587592347,0.05419513210654259,0.05419513210654259,0.01232500746846199
label_mar,pooled_erm,v0,6101,85.0,0.06321119517087936,0.39325235615145143,0.06321119517087936,0.06321119517087936,0.015506792813539505
label_mar,prior_separated,v2,6101,5.0,0.43888363242149353,0.46450375230883123,0.43888363242149353,0.45438623428344727,0.13271605968475342
label_mar,prior_separated,v2,6101,10.0,0.23262672126293182,0.37266670328227675,0.23262672126293182,0.2511745095252991,0.05999220162630081
label_mar,prior_separated,v2,6101,15.0,0.15061628818511963,0.3236015098265605,0.15061628818511963,0.15512673556804657,0.036530036479234695
label_mar,prior_separated,v2,6101,20.0,0.12747591733932495,0.29923146457888117,0.12747591733932495,0.13092541694641113,0.03171165660023689
label_mar,prior_separated,v2,6101,25.0,0.10459674894809723,0.3089666749942456,0.10459674894809723,0.12477056682109833,0.024944942444562912
label_mar,prior_separated,v2,6101,30.0,0.10333557426929474,0.33490581315074286,0.10333557426929474,0.11257915943861008,0.02625489979982376
label_mar,prior_separated,v2,6101,35.0,0.09063014388084412,0.33185052124282605,0.09063014388084412,0.11793794482946396,0.022307846695184708
label_mar,prior_separated,v2,6101,40.0,0.08179817348718643,0.3290539672368161,0.08179817348718643,0.09918728470802307,0.019984614104032516
label_mar,prior_separated,v2,6101,45.0,0.08073633164167404,0.33027638654606384,0.08073633164167404,0.09994974732398987,0.018246421590447426
label_mar,prior_separated,v2,6101,50.0,0.07252873480319977,0.3363694023570399,0.07252873480319977,0.08625289797782898,0.018109280616044998
label_mar,prior_separated,v2,6101,55.0,0.070606529712677,0.336100882524185,0.070606529712677,0.07110771536827087,0.016860447824001312
label_mar,prior_separated,v2,6101,60.0,0.06882846355438232,0.3394480082885768,0.06882846355438232,0.07859942317008972,0.01618403196334839
label_mar,structured_policy_bank,v4,6101,5.0,0.5552893280982971,0.5333738203363917,0.5552893280982971,0.6080352663993835,0.18456804752349854
label_mar,structured_policy_bank,v4,6101,10.0,0.33937308192253113,0.41406046601273394,0.33937308192253113,0.48496013879776,0.10051079839468002
label_mar,structured_policy_bank,v4,6101,15.0,0.24889220297336578,0.38815086162145584,0.24889220297336578,0.4176563620567322,0.07084265351295471
label_mar,structured_policy_bank,v4,6101,20.0,0.22979892790317535,0.3707500529942056,0.22979892790317535,0.39688006043434143,0.06512950360774994
