seed,batch_size,null_episodes,minimum_valid_acceptance,global_guard_threshold,null_pass_rate_at_threshold,null_statistic_median,null_statistic_q95
5062,32,3800,0.9,0.7661934114391793,0.9002631578947369,0.5277914317978125,0.8642432160070479
5062,64,3800,0.9,0.7742537867051937,0.9002631578947369,0.576695900139242,0.8431368933437384
5062,128,3800,0.9,0.8070373023923216,0.9002631578947369,0.6168007213205624,0.8863030331412088
5062,256,3800,0.9,0.8331160869072812,0.9002631578947369,0.6558717522681827,0.8979581819433385
5062,512,3800,0.9,0.8766827887505395,0.9002631578947369,0.7051379595859534,0.9322120576127628
5063,32,3800,0.9,0.7745911000539155,0.9002631578947369,0.5358093050407322,0.8727440564590635
5063,64,3800,0.9,0.8117239825849841,0.9002631578947369,0.5921638456448538,0.8983069173526675
5063,128,3800,0.9,0.8226342648756235,0.9002631578947369,0.630777061465335,0.8927157821254724
5063,256,3800,0.9,0.8546463460196925,0.9002631578947369,0.6864623245381944,0.9154129049153887
5063,512,3800,0.9,0.8889340791457556,0.9002631578947369,0.7341492753684596,0.9377079364318494
5064,32,3800,0.9,0.7200521861751635,0.9002631578947369,0.48877090840710513,0.8193734962938881
5064,64,3800,0.9,0.7660288534037328,0.9002631578947369,0.5398436778127202,0.8469599438235305
5064,128,3800,0.9,0.8096887618526432,0.9002631578947369,0.5903984671030151,0.8861903088862035
5064,256,3800,0.9,0.8261544673718996,0.9002631578947369,0.6318798393049414,0.8987296482863214
5064,512,3800,0.9,0.8552007271256611,0.9002631578947369,0.6805111229214171,0.916373398391139
5065,32,3800,0.9,0.7673921830023243,0.9002631578947369,0.5445076618244149,0.8502601576687426
5065,64,3800,0.9,0.7998831251948465,0.9002631578947369,0.5920606837159196,0.8656595389859253
5065,128,3800,0.9,0.8268759745436184,0.9002631578947369,0.6349851141467295,0.900438245174709
5065,256,3800,0.9,0.8613212518948021,0.9002631578947369,0.6818061891165761,0.9264621588073153
5065,512,3800,0.9,0.8749836099836751,0.9002631578947369,0.7100475669714091,0.9318493904624996
5066,32,3800,0.9,0.7662928707265251,0.9002631578947369,0.5497838435714455,0.8433898423195746
5066,64,3800,0.9,0.7965982131045307,0.9002631578947369,0.5876197327230424,0.8724124472052011
5066,128,3800,0.9,0.8376357183101731,0.9002631578947369,0.6347246919733907,0.8999332979532367
5066,256,3800,0.9,0.8559261645097874,0.9002631578947369,0.6830635315113778,0.9140071819599292
5066,512,3800,0.9,0.8960886034448098,0.9002631578947369,0.727812588763053,0.9505273841825373
5067,32,3800,0.9,0.7953580035251401,0.9002631578947369,0.5562443323375053,0.8897014557968135
5067,64,3800,0.9,0.7992886715729904,0.9002631578947369,0.5914025625210395,0.8877253750922718
5067,128,3800,0.9,0.8292848976150009,0.9002631578947369,0.632750297205537,0.9094356263984281
5067,256,3800,0.9,0.8370664907645676,0.9002631578947369,0.6544590295564297,0.8866910228368009
5067,512,3800,0.9,0.8705603291565462,0.9002631578947369,0.7101612440091447,0.9152908968497714
5068,32,3800,0.9,0.7556854117302053,0.9002631578947369,0.5285568075860458,0.8472601745518427
5068,64,3800,0.9,0.7857748154809786,0.9002631578947369,0.5694032309710262,0.8579694936354597
5068,128,3800,0.9,0.805516142231787,0.9002631578947369,0.6115805233355072,0.8843047266099202
5068,256,3800,0.9,0.8466517886355392,0.9002631578947369,0.663971356805154,0.9109730778233367
5068,512,3800,0.9,0.88260032798102,0.9002631578947369,0.7144019329426579,0.9395002458201425
5069,32,3800,0.9,0.7744445158276816,0.9002631578947369,0.5349438982701141,0.8558951999915018
5069,64,3800,0.9,0.8182170205787256,0.9002631578947369,0.5978742492974778,0.9043969122619872
5069,128,3800,0.9,0.8437941813937235,0.9002631578947369,0.64428937927185,0.9201215249309722
5069,256,3800,0.9,0.8547864329994718,0.9002631578947369,0.6759369036026085,0.919056110812837
5069,512,3800,0.9,0.8875035664711636,0.9002631578947369,0.7287067770338767,0.9331987238972819
5070,32,3800,0.9,0.7634314305567776,0.9005263157894737,0.5326467804880586,0.8528262861915872
5070,64,3800,0.9,0.830147268928229,0.9002631578947369,0.6084744758234841,0.9161956237512503
5070,128,3800,0.9,0.8397338899061774,0.9002631578947369,0.6305983254144119,0.908426216627861
5070,256,3800,0.9,0.8508400908719469,0.9002631578947369,0.6596945896791477,0.9152084747150785
5070,512,3800,0.9,0.8735545197808136,0.9002631578947369,0.7067746240659399,0.9355195638205646
5071,32,3800,0.9,0.7840688191662176,0.9002631578947369,0.5474822588631335,0.8733539534886693
5071,64,3800,0.9,0.821009406611902,0.9002631578947369,0.5978948097958717,0.9252833200891082
5071,128,3800,0.9,0.8301331648930196,0.9002631578947369,0.639706018100897,0.9056336751391986
5071,256,3800,0.9,0.8600987372616181,0.9002631578947369,0.68504747837088,0.9214402446466927
5071,512,3800,0.9,0.8798315025978687,0.9002631578947369,0.7252997022371575,0.9311610223536917
